,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y1
0,384.57,153349554.4,3399419.34,2231713.42,-5665.7,26.17,1,1,0,18,1
1,1.35,264420.8,-572268.46,14886.6,393.05,8.33,-1,0,-3,17,1
2,225.24,44156353.39,11288908.53,41464.165,-7753.58,4.17,3,0,1,18,1
3,766.16,424356031.9,76540982.87,0,76540982.87,30.33,1,0,0,33,1
4,4.75,667907.52,114413.86,6456.59,-112.17,8,3,0,1,21,1
5,312.22,31754119.63,-307288.97,40063.34,370.56,4.17,3,1,1,17,0
6,9.33,3718744.82,38204.97,48922.645,-63.67,11.08,3,0,1,15,1
7,2.16,197312.97,-18073.11,868.475,17.14,1.33,3,1,1,12,0
8,1.32,323455.46,4691.75,921.02,-7.47,2.08,3,0,1,21,0
9,1.01,414383.3,-1481262.86,0,-1481262.86,1.5,3,0,1,11,0
10,634.7,155454478,13079893.24,1767412.26,-20831.01,10.08,3,1,1,18,1
11,7.88,1930939.99,-62017.36,12815.17,98.77,1.92,-1,0,-3,21,0
12,0.13,31125.38,14308.98,222409.2633,-22.79,1,3,-2,1,-4,0
13,0.31,75439.31,40368.82,222409.2633,-64.29,1.08,3,-2,1,-4,0
14,112.73,11465386.5,3126388.5,82193.175,-3770.14,9.42,3,1,1,17,1
15,13.13,1199353.22,-44376.07,4162.75,42.09,3.17,-1,1,-3,16,0
16,2.37,464460.69,-165220.89,625.005,113.48,2.25,3,0,1,20,0
17,29.2,4108578.81,-36201.91,26881.775,35.49,17.67,3,1,1,21,0
18,3.22,327321.87,-69411.04,1.43,83.7,2,3,0,1,18,0
19,5.46,1070973.44,5941.09,84.355,-4.08,1.67,-1,1,-3,15,0
20,89.57,9109825.07,81132.55,127227.475,-97.84,6.92,3,0,1,18,1
21,22.9,3222465.94,18006.22,105795.65,-17.65,4.25,3,0,1,18,1
22,469.31,193168649.8,25888327.27,606843.095,25888327.27,11.17,3,0,1,18,1
23,484.64,268432043.1,7167511.42,2752686.8,7167511.42,18.67,3,1,1,18,0
24,1842.54,734718846.9,-38014745.01,0,63357.91,8.25,1,0,0,18,1
25,417.88,42500733.63,14593423.69,748711.185,-17598.34,7.58,3,1,1,18,1
26,5.5,2194044.95,-233118.44,115182.83,388.53,3.25,3,1,1,18,0
27,0.11,26052.4,-523116.37,222409.2633,833.11,2.08,3,-2,1,-4,0
28,3.8,930681.56,72189.61,26.34,-114.97,12,3,0,1,16,0
29,1.68,329152.79,-1254629.53,1660.325,861.72,2,3,1,1,18,0
30,359386.61,359386.61,-1379729.17,43205.475,-1379729.17,2.33,3,0,1,18,0
31,11.15,624905.04,-25981.71,9729.905,12.99,2.58,3,0,1,21,0
32,1950.58,1080380916,124194393.9,6841559.7,124194393.9,11.08,3,1,1,18,0
33,3.47,680874.52,-250122.21,6212.455,171.79,2.25,3,0,1,14,0
34,49665.86162,16523791.02,-8713251.7,0,5984.54,1.67,3,0,1,14,0
35,42.49,16944351.3,-47579.42,11368.275,79.3,7.33,3,0,1,20,0
36,60.62,8530145.38,36618.79,222409.2633,-35.9,1,3,-2,1,-4,0
37,0.54,216858.41,-1219.04,368.14,2.03,1,-1,1,-3,11,0
38,24.61,10129805.43,-2455455.74,0,-2455455.74,3,1,0,0,18,0
39,4.1,803116.89,9251.59,515.475,-6.35,2.25,3,1,1,21,0
40,5.31,297821.78,-150725.6,222409.2633,75.36,2,3,-2,1,-4,0
41,8.79,492809.85,-82262.27,0,41.13,3.83,3,0,1,27,0
42,0.82,327029.7,-3110,222409.2633,5.18,1.92,3,-2,1,-4,0
43,3.17,1265862.47,-166181.28,1303.88,276.97,1.67,3,1,1,14,0
44,16.8,4114986.72,-599275.13,0,954.4,2,3,0,1,18,0
45,150.85,83554181.12,-2925152.34,-150407.345,-2925152.34,2.75,3,0,1,18,0
46,49665.86162,16523791.02,-280036.21,222409.2633,445.98,10.67,3,-2,1,-4,1
47,1.93,377597.68,30611.28,681.535,-21.02,1.92,3,0,1,18,0
48,5.29,36100.31,-427611.66,0,-427611.66,2.67,3,0,1,9,0
49,159.87,39156720.78,371682.25,79590.755,-591.94,17.08,3,1,1,16,0
50,3.34,470412.39,-11277.77,2912.62,11.06,1.42,3,1,1,9,0
51,165.99,23356425.06,-6295947.89,0,6172.5,9.67,3,0,1,21,1
52,0.11,59737.63,-65907.57,222409.2633,-65907.57,1.83,3,-2,1,-4,0
53,7.31,743449.02,-117956.12,641.185,142.24,1.67,3,0,1,12,0
54,9.46,1331201.06,159302.18,1034.74,-156.18,6.5,3,0,1,18,0
55,387013.24,387013.24,-726868.12,7825.775,-726868.12,2.75,3,1,1,12,0
56,9.84,3921945.6,17007.17,61165.055,-28.35,5.42,-1,0,-3,18,1
57,57.22,8050688.48,-44355993.49,45676.615,43486.27,3.25,3,1,1,18,0
58,1.86,455344.81,-7890.34,181.715,12.57,5.08,-1,1,-3,21,1
